blogger,avg(influence_score)
Tyler Durden,31.36651093
Donate | Zero Hedge,-31.5
 Zero Hedge's Co,-34.5
 Sol Sanders ,-34.575
 Edward Pinto,-35.4
 Scot J. Paltrow,-35.7
 KT,-35.7
 msnbc.com staff,-36
Michael Hudson,-36.6
 making an outstanding lure,-36.9
 Vitaliy N. Katsenelson,-37.05
Header Menu,-37.32063158
BY Celeste Katz,-37.5
 Vitaliy Katsenelson,-37.8
" John
Mauldin",-38.4
JOE NOCERA,-39
 clicking here,-41.7
 Prashant Gopal,-44.4
 Reggie Middleton,-46.8
Blog | Zero Hedge,-51.43571429
