Cluster 1,35,1
Cluster 2,39,2
Cluster 3,31,3
Cluster 4,25,4
Cluster 5,39,5
Cluster 6,29,6
Cluster 7,21,7
Cluster 8,40,8
Cluster 9,26,9
Cluster 10,32,10
